dep,partido,estado,votodilma,liberado,recebido,vototemer,discurso,discurso2
José Rocha,PR,BA,Contra,6122865.65,1222013.54,Contra,"Sr. Presidente, quero cumprimentá-lo pela condução dos trabalhos desta Casa no dia de hoje.
A pedido do Deputado Giovani Cherini, do PR do Rio Grande do Sul, que está em tratamento de saúde, fazendo tratamento radioterápico, informo que ele está ausente desta votação.
Sr. Presidente, é com a mesma coerência que votei contra o impeachment. Aqui hoje voto sim ao parecer do eminente Deputado Paulo Abi-Ackel, pela governabilidade do Brasil.",70
José Sarney Filho,PV,MA,A favor,0,0,Contra,"Sim, com o parecer da Comissão de Constituição e Justiça.",10
José Stédile,PSB,RS,A favor,9463055.55,4427781.2,A favor,"O meu voto não está à venda. Vou cumprir, com dignidade, a minha função de fiscalizar o Governo, independente de ser Situação ou Oposição.
Em nome dos trabalhadores, dos pequenos e médios empresários, contra a reforma da Previdência, voto ""não"".",40
Josi Nunes,PMDB,TO,A favor,8810880,1235124.12,Contra,"Sr. Presidente, no momento em que o País, o Brasil, busca a retomada do crescimento, a pouco mais de 1 ano para as eleições, este não é o momento de paralisar o País. Portanto, eu voto sim ao relatório.",39
Josias Gomes,PT,BA,Não estava no cargo,0,0,A favor,"Eu vim aqui hoje votar exclusivamente em solidariedade àbancada do Partido dos Trabalhadores da Bahia, que tem uma posição muito clara contra os desmandos que este Governo há 1 ano vem promovendo no País.
Por esta razão, eu não poderia me ausentar deste momento histórico no País para dizer não a este Governo que tanto mal fez ao nosso País.",60
Josué Bengston,PTB,PA,A favor,6413860,1651719.61,Contra,"Pelo crescimento do nosso País, pela inflação que estádiminuindo, pela economia que está melhorando, eu voto ""sim""",17
Jovair Arantes,PTB,GO,A favor,6804047.99,962318.83,Contra,"Sr. Presidente, por meio do seu Relator, eu quero render uma homenagem ao PSDB e votar sim. Esse relatório é importante para o Brasil, para a economia e para a política nacional.",32
Jozi Araújo,PODE,AP,Contra,0,1031536.69,Contra,"Sr. Presidente, eu voto sim ao relatório do Deputado Paulo Abi-Ackel.",11
Júlia Marinho,PSC,PA,A favor,4991934,1074834.16,Contra,Sim.,1
Júlio César,PSD,PI,A favor,9091825.54,4428753.53,Contra,"Pela melhoria dos indicadores econômicos do nosso País, pela convicção que eu tenho de cada dia melhorar a vida do povo brasileiro e por recomendação partidária, eu voto sim, Sr. Presidente.",31
Júlio Delgado,PSB,MG,A favor,6237724.79,2036883.91,A favor,"Sr. Presidente, a denúncia oferecida tem os pressupostos constitucionais para que ela possa ser aprovada aqui. A responsabilidade do Presidente da República é muito grande, e também é muito maior a sua responsabilidade quando pratica crimes no exercício do mandato. Por isso, eu voto pela continuidade, não ao Deputado do Relatório Paulo Abi-Ackel.",53
Julio Lopes,PP,RJ,A favor,6905151,584846.16,Contra,"Sr. Presidente, Sras. e Srs. Deputados, investigar é preciso, mas não é urgente; urgente é unir trabalhadores e empreendedores do Brasil para desenvolver o País.
Eu voto sim, com o Deputado Paulo Abi-Ackel.",33
Junior Marreca,PEN,MA,Contra,5957953,631324.05,Contra,"Sr. Presidente, nós temos de parar de brincar de trocar Presidente como se troca de roupa. Eu voto sim, ao relatório.",21
Juscelino Filho,DEM,MA,A favor,9821349.7,0,Contra,"Sr. Presidente, pela retomada econômica do nosso País, pela estabilidade, voto sim.",12
Jutahy Junior,PSDB,BA,A favor,7065274,1308021.47,A favor,"Existem indícios suficientes, robustos, para a investigação ser prosseguida no Supremo Tribunal Federal.
Por isso, eu voto, como já o fiz na Comissão de Justiça, a favor do prosseguimento da ação.
O meu voto é não.",36
Keiko Ota,PSB,SP,A favor,2565770,1708774,A favor,"Presidente, o meu voto é não.",6
Laércio Oliveira,SD,SE,A favor,8697039.41,928145.96,A favor,"Sr. Presidente, meu voto é contra o relatório. O meu voto é não.",13
Laerte Bessa,PR,DF,A favor,4570700,1324980.43,Contra,"Sr. Presidente, para nós não termos mais a oportunidade de voltar ao partido desta senhora que acabou de falar aqui, nós vamos votar sim, porque nós não aceitamos mais o PT na nossa vida. Esse partido passou e nós temos que extirpar essa corja da nossa vida, Sr. Presidente.
O voto é sim.",53
Laudivio Carvalho,SD,MG,A favor,9231494,1935666.35,A favor,"Sr. Presidente, ninguém está acima da lei e da ordem neste País. O povo quer caráter dos seus representantes, e quer o caráter demonstrado, é tolerância zero. Quem não deve não Temer, Sr. Presidente. Eu voto não.",37
Laura Carneiro,PMDB,RJ,Não estava no cargo,3685856.35,0,A favor,"Sr. Presidente, Srs. Deputados, eu tive o cuidado de ler a denúncia, a defesa, e quem fala aqui é a filha do PMDB de Nelson Carneiro, de Ulysses Guimarães. A estabilidade num país se dá pela crença e pela esperança do seu povo. 
Sr. Presidente, eu voto pelo envio da matéria ao Supremo Tribunal Federal. Voto não.",57
Lázaro Botelho,PP,TO,A favor,7597014,3032073.89,Contra,"Para o Brasil não parar, eu voto com o relatório, sim.",11
Leandre,PV,PR,A favor,8482485,487310.54,A favor,"Pela reconstrução do nosso País, por uma mudança de comportamento e de atitudes e, principalmente, de valores, voto pelo prosseguimento das investigações, portanto, não ao relatório.",26
Lelo Coimbra,PMDB,ES,A favor,6307628,850353.71,Contra,"Sr. Presidente, pelo fortalecimento da jornada de restauração da economia em nosso País, pelas reformas que precisam da estabilidade política para que elas ocorram e pelo nosso trabalho de fortalecimento das instituições brasileiras, o meu voto é a favor do relatório feito pela Comissão e que está em votação aqui: sim.",51
Leo de Brito,PT,AC,Contra,6314839.69,1093274.03,A favor,"Sr. Presidente, Sras. e Srs. Deputados, os fatos e as provas são incontestes. Michel Temer é corrupto.
Não a um relatório que joga a sujeira embaixo do tapete. Não a um Governo que assassina os direitos do povo brasileiro. 
Sem recuar, sem cair, sem temer: fora, Temer! Diretas já! ",49
Leonardo Monteiro,PT,MG,Contra,6895441.54,2840708.46,A favor,"Sr. Presidente, primeiro, fora, Temer! Contra a reforma trabalhista! Contra a reforma da Previdência! Contra o desmatamento da Amazônia! A favor da educação!
Voto contra o Relatório do PSDB, do Deputado Paulo Abi-Ackel.",33
Leonardo Picciani,PMDB,RJ,Contra,0,1153155.5,Contra,"Sr. Presidente, em respeito à separação de Poderes, em respeito às instituições, esta Casa, onde está a legítima representação do povo brasileiro eleita pelo voto, não é mero local de passagem do desejo de outras instituições. A denúncia é inepta e denúncia inepta não merece prosperar. Eu voto sim.",49
Leonardo Quintão,PMDB,MG,A favor,0,1153155.5,Contra,"Sr. Presidente, com o Relator.",5
Leônidas Cristino,PDT,CE,Contra,6810236,266041.98,A favor,"Sr. Presidente, meu voto é para abrir um processo contra o Presidente da República Michel Temer, ou Michel Fora, Temer. Meu voto é não como é o desejo da maioria do povo brasileiro.",33
Leopoldo Meyer,PSB,PR,A favor,4689750,5140456.67,A favor,"O meu voto é não ao relatório e sim à investigação, Sr. Presidente.",13
Lincoln Portela,PRB,MG,A favor,6597567.55,2598461.96,A favor,"Sr. Presidente, não posso fazer nenhum juízo de valor precipitado contra o Presidente Temer. Porém, da mesma maneira em que encaminhei o impedimento da Presidente Dilma Rousseff, votarei contra o Relatório, sem nenhuma influência marxista.",35
Lindomar Garçon,PRB,RO,A favor,4547475,3246691.56,Contra,"Sr. Presidente, em nome da indústria, que estáfazendo o emprego crescer, em nome do meu amigo Ministro Marcos Pereira, em nome do Michel Temer, em nome do Henrique Prata, que conseguiu credenciar o Hospital do Câncer da Amazônia, Rondônia, o meu voto é sim. ",44
Lobbe Neto,PSDB,SP,Não estava no cargo,0,0,A favor,"Sr. Presidente, o meu voto é não.",7
Luana Costa,PSB,MA,Não estava no cargo,0,0,A favor,"Votei contra a reforma trabalhista e a favor do trabalhador do Brasil. Eu voto contra a reforma da Previdência e a favor do aposentado do nosso País. Eu acredito que a justiça deve ser igual para homens e mulheres do nosso País, independente de sua posição social. Por isso, eu voto não ao relatório.",54
Lucas Vergilio,SD,GO,A favor,6980950,948836.63,Contra,"Sr. Presidente, pelo desenvolvimento do nosso País, pela estabilidade política, serei responsável com o meu País e voto para que o Presidente Temer seja investigado ao fim do seu mandato. Voto sim, Sr. Presidente.",34
Luciana Santos,PCdoB,PE,Contra,3128800,1413293.76,A favor,"Sr. Presidente, Lenine tem uma canção que diz que nos maus tempos de lida eu envergo, mas não quebro. Por isso que aqui, apesar da ofensiva do Governo e dos acordos indecorosos e espúrios para ter uma massiva maioria, a votação está sendo apertada. Por isso que a batalha podemos perder hoje, mas vamos ganhar a guerra. Eu voto não. Fora, Temer! Firme na luta.",65
Luciano Bivar,PSL,PE,Não estava no cargo,0,0,Contra,"Sr. Presidente, pela responsabilidade social de todos aqueles que empregam neste País, em benefício da classe trabalhadora e da agenda reformista que o Governo está empenhado, não poderia deixar de votar sim.",32
Luciano Ducci,PSB,PR,A favor,7198233.1,3972017.18,Abs,"Sr. Presidente, minha ausência se deve a um fato contra a minha vontade. Eu não pude estar presente no horário da votação por motivo de força maior, mas meu voto seria como votou a maioria do meu partido, o PSB, meu voto seria não.",44
Lucio Mosquini,PMDB,RO,A favor,3694370,3423571.35,Contra,"Sr. Presidente, para que o Presidente Michel Temer possa ser processado e julgado, após o seu mandato, eu voto sim ao relatório.",22
Lúcio Vale,PR,PA,Contra,6499415,2364582.73,Contra,"Sim, Sr. Presidente.",3
Lucio Vieira Lima,PMDB,BA,A favor,7782557.55,712880.04,Contra,"Eu voto sim, aqui para o meu amigo Robinson Almeida, que estáfilmando. Voto sim.",14
Luis Carlos Heinze,PP,RS,A favor,7832552.78,2890594.68,A favor,"Não, Sr. Presidente.",3
Luis Tibé,PTdoB,MG,A favor,5270537,303847.88,Contra,"Sr. Presidente, voto com o Relator.",6
Luiz Carlos Hauly,PSDB,PR,A favor,5480933,1487577.77,Contra,"Sim ao Relator, sim à recuperação econômica brasileira, sim às reformas, sim à reforma econômica, sim à reforma tributária, sim à recuperação dos 14 milhões de desempregados, pelo Brasil, sim.",30
Luiz Carlos Ramos,PODE,RJ,A favor,6792550,54103.24,A favor,"Pelos moradores de rua, que nascem e morrem, voto contra o relatório do PSDB e pela...",16
Luiz Cláudio,PR,RO,A favor,6820453,1541552.23,Contra,"Sr. Presidente, sou a favor de todas as investigações, mas o momento émuito delicado.
Para recuperar a nossa economia, eu voto sim ao relatório. ",24
Luiz Couto,PT,PB,Contra,4610890,3550179.8,A favor,"Em respeito ao povo paraibano, que quer o Fora, Temer! e as Diretas já!e contra esse Presidente corrupto, que está a serviço do mercado, que é destruidor de direitos, votamos não ao relatório...",33
Luiz Fernando Faria,PP,MG,A favor,6260174.57,2292642.61,Contra,"Sr. Presidente, voto com o Relator, Deputado Paulo Abi-Ackel. Confio no seu Relatório 100%.
Portanto, o meu voto é sim.",20
Luiz Lauro Filho,PSB,SP,A favor,7751575,3652892.06,A favor,"Sr. Presidente, pela ética, pela transparência, por fazer parte de uma nova geração de brasileiros que quer que o País seja passado a limpo, o meu voto é sim à continuidade das investigações e não ao relatório.",37
Luiz Nishimori,PR,PR,A favor,9447675.8,1560318.09,Contra,"Sr. Presidente, pensando no bem do nosso País e da nossa economia e na credibilidade internacional, o meu voto é sim.",21
Luiz Sérgio,PT,RJ,Contra,6686694.17,881991.96,A favor,"Sr. Presidente, esta Casa cassou uma mulher honesta, sem crime, e agora quer impedir que o Supremo investigue um Presidente que tem as impressões digitais no crime. Só a eleição direta nos tira dessa crise. Eu voto simpela continuidade das investigações, Sr. Presidente. ",43
Luiza Erundina,PSOL,SP,Contra,1999810,3542582.37,A favor,"Presidente, esta Casa não pode continuar de costas para a sociedade, que anseia, deseja e exige a investigação já. Por isso e em respeito à vontade popular, o meu voto é não.",32
Luizianne Lins,PT,CE,Contra,10168803,195032.93,A favor,"Sr. Presidente, primeiramente: Fora, Temer! Pelo povo do meu Ceará, pelo povo brasileiro, contra a reforma da Previdência e para que este País volte a sonhar e a se reencontrar com a esperança, eu voto nãoao Presidente golpista Michel Temer.",40
Luzia Ferreira,PPS,MG,Não estava no cargo,0,0,A favor,"Sr. Presidente, as denúncias contra o Presidente são graves, consistentes e precisam ser investigadas já. Então, eu voto sim à investigação, e contra o relatório.",25
Macedo,PP,CE,Contra,7294538,829066.6,Contra,Eu voto com o Relator. O meu voto é sim. ,10
Magda Mofatto,PR,GO,A favor,7476860,1676858.73,Contra,"Sr. Presidente, pelo progresso e desenvolvimento do País, é sim. Pela coragem do nosso Presidente Michel Temer em fazer as reformas necessárias ao País, sim ao relatório.",27
Maia Filho,PP,PI,Não estava no cargo,0,887828.96,Contra,"Sr. Presidente, ser Parlamentar não é ser manobrado pelo senso comum, nem querer agradar o senso comum; é, antes de tudo, defender a Constituição. E não vamos criar aqui o precedente de afastar um Presidente sem ter uma prova irrefutável. Acreditando no Brasil e acreditando que nós vamos estar aqui para criar estabilidade, nós votamos sim ao relatório.",58
Major Olímpio,SD,SP,A favor,4841289,2633170.5,A favor,"Dignidade não tem preço! Noventa por cento da população brasileira quer que acabe essa cafetinagem política e quer que eu diga, aqui, a plenos pulmões: vergonha, Temer! Vergonha, Temer!
Não.",30
Mandetta,DEM,MS,A favor,5860716,4846765.66,A favor,"Voto não, Sr. Presidente.",4
Mara Gabrilli,PSDB,SP,A favor,5039894,252982.81,A favor,"Sr. Presidente, como ninguém está acima da lei, eu voto não.",11
Marcelo Aguiar,DEM,SP,Não estava no cargo,0,0,Contra,"Presidente, eu voto contra a aceitação da denúncia e sim ao relatório, para que este Governo encontre o equilíbrio político e principalmente a retomada da economia. Que Deus abençoe e cure a população brasileira!",34
Marcelo Álvaro Antônio,PR,MG,A favor,7050215.34,3074552.54,A favor,"Sr. Presidente, o meu voto é de acordo com o que manda a minha consciência. Eu sou contrário ao relatório, a favor das investigações, por um motivo: nós precisamos passar o Brasil a limpo.",34
Marcelo Aro,PHS,MG,A favor,8122930,1970039.17,Contra,,0
Marcelo Castro,PMDB,PI,Contra,10910804.55,0,Aus,,0
Marcelo Delaroli,PR,RJ,Não estava no cargo,0,0,Contra,"Presidente, pela estabilidade do nosso País, com a responsabilidade de entender que afastar provisoriamente um Presidente da República é ruim para a economia brasileira e para que ele seja investigado no final do seu mandato, eu voto sim ao relatório.",40
Marcelo Matos,PHS,RJ,A favor,5551279.2,0,A favor,"Sr. Presidente, Sras. e Srs. Deputados, sigo a orientação do meu partido. Voto não.",14
Marcelo Squassoni,PRB,SP,A favor,7109538,361669.2,Contra,"Sr. Presidente, o Estado de São Paulo e, principalmente, o nosso litoral não aguentam mais perder postos de trabalho e ver suas empresas fechando.
Pela retomada imediata do crescimento do Brasil, o meu voto é sim.",36
Marcio Alvino,PR,SP,A favor,6803300,108576.43,Contra,"Sr. Presidente, sim ao relatório do Deputado Paulo Abi-Ackel, do PSDB.",11
Márcio Marinho,PRB,BA,A favor,5327755,1100860.35,Contra,"Sr. Presidente, esse processo não termina aqui, e o Presidente da República terá a oportunidade, após o seu mandato, de se defender. E, com a consciência tranquila e com a responsabilidade de um cidadão brasileiro, o meu voto é sim.",40
Marco Antônio Cabral,PMDB,RJ,A favor,7179385,198729.84,Contra,"Sr. Presidente, pela estabilidade econômica e pelo retorno dos empregos no Brasil eu voto sim.",15
Marco Maia,PT,RS,Contra,9184600.71,3155512.86,A favor,"Vou votar aqui pelo conjunto da obra, contra a reforma da Previdência, contra a reforma trabalhista, contra o congelamento dos gastos públicos, contra a terceirização indiscriminada.  
O meu voto é não a este relatório. ",34
Marco Tebaldi,PSDB,SC,A favor,10324687.18,855888.23,Contra,"Voto sim, Sr. Presidente.",4
Marcon,PT,RS,Contra,9083017.55,2743281.96,A favor,"Eu vou votar pelo afastamento desse Presidente Michel Temer, do PMDB, por corrupção, por ser golpista e contra as reformas. E, a pedido da Justiça Federal, o meu voto é não.",31
Marcos Abrão,PPS,GO,A favor,7410827.63,2070872.98,A favor,"Sr. Presidente, meu voto é não.",6
Marcos Montes,PSD,MG,A favor,8705900,1178570.18,Contra,"Meu voto é sim, Sr. Presidente.",6
Marcos Reategui,PSD,AP,A favor,2900000,4180216.71,Contra,"Permita que eu declare o voto.
Nação brasileira, parece faltar a uma parte do Judiciário a compreensão do que está em curso no País, seja em razão do açodamento do Procurador Janot, seja por imprudência de alguns Ministros do STF, tem-se um quadro de instabilidade que gera crise, fere, mata nas ruas e nos hospitais. Não posso compactuar com isso. 
Por esta razão, voto sim ao relatório da CCJ. ",69
Marcos Rogério,DEM,RO,A favor,7222300,2303462.7,A favor,"Sr. Presidente, não há como negar os fatos e sua gravidade.
Voto sim pela autorização do prosseguimento do processo perante o Supremo Tribunal Federal, não ao parecer.",27
Marcos Soares,DEM,RJ,A favor,4337592,505349,Contra,"Sr. Presidente, eu voto com o relatório aprovado pela Comissão de Constituição e Justiça. Voto sim.",16
Marcus Pestana,PSDB,MG,A favor,8563953,2409841.65,Contra,"Tolerância zero com a corrupção, mas dentro do Estado de Direito, com amplo direito de defesa e presunção de inocência. O processo não será arquivado; será adiado. A economia brasileira vive a maior recessão, uma situação fiscal dramática. Nós precisamos das reformas e das mudanças. Não suportaríamos 4 governos em 4 anos. O Brasil tem pressa de mudar. Mudança, já.",60
Marcus Vicente,PP,ES,A favor,3741500,944589.57,Contra,"Pela estabilidade econômica, pela geração de emprego e renda, pelo controle da inflação e pela queda dos juros, em nome do Espírito Santo do Brasil, eu voto sim!",28
Margarida Salomão,PT,MG,Contra,3698510,2201379.2,A favor,"Sr. Presidente, este Governo é uma tragédia, ilegítimo e maligno para o povo brasileiro. Mas não é por essa razão que eu voto não. Eu voto não, contra o relatório, por causa dos crimes de Temer, sobejamente, demonstrados pela Procuradoria Geral da República.
Eu voto contra Temer.",47
Maria do Rosário,PT,RS,Contra,6041426,978138.95,A favor,"O meu voto é contra a corrupção, contra Temer, pela decência, pelas Diretas já. O meu voto é pela educação, pela saúde pública, pela infância brasileira, pelas mulheres e contra a reforma da Previdência. 
Fora, Temer e Diretas já! Votar contra é não a Temer e não ao relatório. Muito obrigada. ",51
Maria Helena,PSB,RR,A favor,5524459.76,175716.63,Contra,"Sr. Presidente, eu não sou a favor da impunidade e nem contra a investigação, mas, pela estabilidade econômica do País, entendo que ela deva acontecer após o término do mandato do Presidente Temer.
Portanto, voto sim.",36
Mariana Carvalho,PSDB,RO,A favor,5931965,703961.67,A favor,"Sr. Presidente, por toda a minha história e minha convicção, sou a favor de que todas as pessoas sejam tratadas de forma igual, conforme a lei e a nossa Constituição Federal. Por isso, sou a favor das investigações. Quero um País longe da corrupção, com ética e muito respeito aos brasileiros. Por isso, sou contra esse relatório.",57
Marinaldo Rosendo,PSB,PE,A favor,8159938,258036.5,Contra,"Sr. Presidente, o meu voto é sim ao relatório do nobre Presidente.",12
Marinha Raupp,PMDB,RO,A favor,1700000,1643961.56,Contra,"Sr. Presidente, meu voto é sim.",6
Mário Negromonte Jr.,PP,BA,Abstenção,8276830.54,12017.07,Contra,"Sr. Presidente, acompanhando a orientação do meu partido, Partido Progressista, eu voto sim.",13
Marx Beltrão,PMDB,AL,A favor,0,521195.7,Aus,,0
Mauricio Quintella,PR,AL,A favor,0,2319482.31,Aus,,0
Mauro Lopes,PMDB,MG,A favor,8111910,2017599.53,Contra,"Sr. Presidente, o meu voto é para quem eu conheço há muitos anos. Eu voto pela preservação da biografia sem mácula de Michel Temer e para que ele possa colocar o Brasil nos trilhos.",34
Mauro Mariani,PMDB,SC,A favor,7142119,1038499.79,Contra,"Voto sim com o relatório, Sr. Presidente.",7
Mauro Pereira,PMDB,RS,A favor,8833513.78,3506857.95,Contra,"Sr. Presidente, eu voto simpela continuidade da economia, para que as coisas continuem melhorando, para que o Brasil entre nos trilhos de vez. E por mais um motivo justo: eu não fico do lado do PT, do PCdoB, da Rede, do PSOL. Eu fico do lado do Brasil.
Fora PT! Fora Lula! Fora essa cambada que quebrou o Brasil!",59
Mendonça Filho,DEM,PE,A favor,0,318530.29,Contra,"Eu voto sim, Sr. Presidente.",5
Miguel Haddad,PSDB,SP,A favor,7581700,1724972.13,A favor,"Sr. Presidente, voto a favor da investigação e não ao relatório.",11
Miguel Lombardi,PR,SP,A favor,3432953,1017928.38,Contra,"Sr. Presidente, voto sim.",4
Milton Monti,PR,SP,A favor,8649729.55,2301024.77,Contra,"Sr. Presidente, eu voto com o parecer do Relator, voto sim.",11
Miro Teixeira,Rede,RJ,A favor,2426260,1496348.23,A favor,"Presidente, o interesse público deseja o fim da impunidade. Eu voto não.",12
Misael Varella,DEM,MG,A favor,4565995,410224.12,Contra,"Sr. Presidente, o meu voto é sim.",7
Missionário José Olímpio,DEM,SP,A favor,5595561.54,1565648.94,Contra,"Voto sim ao relatório, Sr. Presidente.",6
Moisés Diniz,PCdoB,AC,Não estava no cargo,4184297,0,A favor,"Pelos brasileiros que estão voltando para o Bolsa Família, pela juventude que está sendo morta nas periferias, contra a reforma da Previdência e pelo Acre eu voto não|, Sr. Presidente.",30
Moses Rodrigues,PMDB,CE,A favor,7780503,359284.92,Contra,"Sr. Presidente, eu voto com o Relator: sim.",8
Nelson Marquezelli,PTB,SP,A favor,8833810,3134953.91,Contra,"Sr. Presidente, o Governo está dando certo, o Ministério é acima da média e a economia está respondendo corretamente.
O meu voto é sim.",24
Nelson Meurer,PP,PR,A favor,9489086,1602027.19,Contra,"Sim, Sr. Presidente.",3
Nelson Padovani,PSDB,PR,A favor,1875477.44,492433.45,Contra,"Sim ao relatório, Sr. Presidente.",5
Nelson Pellegrino,PT,BA,Não estava no cargo,9361183,0,A favor,"Presidente, a denúncia do Ministério Público tem indícios deautoria, materialidade, tem provas consistentes, é uma peça completa. Por isso, a denúncia tem que prosseguir e ir ao Supremo Tribunal Federal. Voto contra o relatório, por um Brasil soberano, contra a venda da PETROBRAS, do pré-sal, contra a reforma trabalhista, contra a reforma previdenciária, contra a entrega da Amazônia, por um País soberano, por um País onde haja moralidade. Diretas já! Lula em 2018!",73
Newton Cardoso Jr,PMDB,MG,A favor,0,320629.51,Contra,"Sr. Presidente, a depender do tratamento que Minas Gerais recebeu atéhoje do Governo, deveríamos até ir contra o relatório, mas precisamos, neste momento, de estabilidade econômica, de segurança jurídica com fiel respeito aos preceitos da Constituição.
Portanto, voto sim ao relatório.",41
Nilson Leitão,PSDB,MT,A favor,7466645,1166780.22,Contra,"Sr. Presidente e Srs. Deputados, eu voto em nome da economia, voto em nome do Brasil, que gera emprego, que gera renda, e em nome da responsabilidade. O meu voto é sim ao relatório do Deputado Paulo Abi-Ackel.",38
Nilson Pinto,PSDB,PA,A favor,4324045,2300993.14,Contra,"Sr. Presidente, eu concordo integralmente com o relatório aprovado pela Comissão de Constituição e Justiça, brilhantemente elaborado pelo ilustre Deputado Paulo Abi-Ackel, do PSDB, de Minas Gerais, a quem eu ... Eu voto sim.",34
Nilto Tato,PT,SP,Contra,9316648,237393.58,A favor,"Sr. Presidente, tiraram da Presidência uma mulher honestapara instalar uma quadrilha no Palácio do Planalto.
Em defesa do meio ambiente, dos povos indígenas, da reforma agrária, do povo brasileiro, pela democracia e por diretas já eu voto não ao Temer.",40
Nilton Capixaba,PTB,RO,A favor,3079884,4193877.15,Contra,"Pelo crescimento do nosso País, pelo crescimento e desenvolvimento do nosso Estado de Rondônia, que eu represento, voto sim, pelo relatório.",21
Norma Ayub,DEM,ES,Não estava no cargo,0,0,A favor,"Sr. Presidente, eu voto ""não"".",5
Odorico Monteiro,PSB,CE,Contra,6826536,0,A favor,"Sr. Presidente, contra o congelamento de recursos da saúde por 20 anos, contra a reforma da Previdência e para que o povo participe da solução da grande crise deste País, o meu voto é não.",35
Onyx Lorenzoni,DEM,RS,A favor,5539695,3379960.96,A favor,"Sr. Presidente, a maioria dos brasileiros crê e tem fé. 
O apóstolo João disse: E conhecereis a verdade e a verdade vos libertarás. E o único caminho para o Brasil se libertar é a verdade. 
Portanto, voto não ao relatório e sim às investigações.",44
Orlando Silva,PCdoB,SP,Contra,5820318.78,912189.5,A favor,"Ninguém está acima da lei, nem o Presidente da República. Fazer cumprir a Constituição é afastar Michel Temer, para que ele seja processado, e, assim, pôr fim a este Governo de desemprego que traz infelicidade para o nosso povo. 
Em respeito ao povo brasileiro, eu voto com os trabalhadores. O PCdoB vota não.",53
Osmar Bertoldi,DEM,PR,Não estava no cargo,0,0,Contra,"Conforme orientação do meu partido, e com responsabilidade, voto sim ao relatório.",12
Osmar Serraglio,PMDB,PR,A favor,8888903,773842.78,Aus,,0
Osmar Terra,PMDB,RS,A favor,0,2547891.06,Contra,"Sr. Presidente, eu voto pela mudança que está acontecendo na trajetória, na tragédia que havia neste País, tragédia de corrupção, tragédia de desmandos na economia, tragédia de desemprego em massa, que estava acontecendo no Governo e voto pelo esforço que estamos fazendo para reconstruir um país melhor. 
Voto sim.",49
Otavio Leite,PSDB,RJ,A favor,5153102.76,909951.82,A favor,"Sr. Presidente, eu apenas gostaria de lembrar aos brasileiros que esta sessão éuma determinação da Constituição da República. É preciso respeitá-la. O meu voto é não ao relatório.",28
Padre João,PT,MG,Contra,5697873,3881756.46,A favor,"Pelo fim da impunidade, pelo fim das malas de dinheiro do Temer e do Aécio e pelo fim também das reformas que estão desmontando o Estado brasileiro, eu voto não. E cadeia para o Aécio e o Temer!",38
Paes Landim,PTB,PI,Contra,9002513.75,1249688.44,Contra,"Sr. Presidente, eu votei contra o impeachment da Presidente Dilma porque eu não encontrei fundamentos que lhe imputassem crime de responsabilidade. Do mesmo caso, Sr. Presidente, fazendo juízo político (ininteligível) mínimo de estabilidade ao País e dentro das reformas anunciadas pelo Presidente Michel Temer, eu voto pela suspensão do processo, que terá continuidade após o término do mandato. Nesse sentido, eu voto com o Relator, voto sim.",67
Pastor Eurico,PHS,PE,A favor,4839998.63,2485495.15,A favor,"Sr. Presidente, quem não deve não teme. Sou contra o relatório e voto pela investigação.",15
Pastor Luciano Braga,PRB,BA,Não estava no cargo,0,0,Contra,"Sr. Presidente, como já disse o Procurador Rodrigo Janot, o processo, depois que o Presidente terminar o mandato, vai para a Justiça Comum, e S.Exa. terá o momento para se defender. Então, com responsabilidade e querendo que o Brasil continue a crescer como estácrescendo, o meu voto é sim, com o Relator.",52
Patrus Ananias,PT,MG,Contra,4394102.9,0,A favor,"Sr. Presidente, eu quero me ater aqui à questão jurídica, que éo motivo desta reunião. As acusações que pesam contra o Sr. Michel Temer são gravíssimas. Elas saem do campo das denúncias e entram no campo das provas, provas visíveis, provas audíveis. Por isso, o nosso voto é não. Muito obrigado, Sr. Presidente.",53
Pauderney Avelino,DEM,AM,A favor,4372953,0,Contra,"Em vez da imunidade penal, que indigna todos os brasileiros, quem deveria estar preso era Joesley Batista, da JBS.
Meu voto é com o Relator: sim.",26
Paulão,PT,AL,Contra,6298775,1617426.2,Aus,,0
Paulo Abi-Ackel,PSDB,MG,A favor,10149219,889267.14,Contra,Voto sim.,2
Paulo Azi,DEM,BA,A favor,7552128,703491.97,Contra,"Sr. Presidente, estamos diante de uma denúncia frágil e inconsistente. O meu voto é pela estabilidade do País. Voto sim. Voto com o Relator.",24
Paulo Feijó,PR,RJ,A favor,6569945,246717.39,Contra,"Sr. Presidente, voto com o Relator. Voto sim.",8
Paulo Foletto,PSB,ES,A favor,7169800,1825371.33,A favor,"Sr. Presidente, independentemente das reformas necessárias que estão sendo realizadas, esta Casa é a caixa de ressonância da voz da nossa população. Nós representamos o povo brasileiro.
O povo brasileiro quer que haja prosseguimento das investigações. O meu voto é contra o relatório, pelo prosseguimento das investigações. 
O meu voto é não.",52
Paulo Freire,PR,SP,A favor,6430631,4230699.82,Contra,"Neste momento, Sr. Presidente, temos que pensar no Brasil. E, pensando no Brasil, meu voto é sim.",17
Paulo Henrique Lustosa,PP,CE,Não estava no cargo,0,0,Contra,"Sr. Presidente, voto sim, com a orientação do meu partido.",10
Paulo Magalhães,PSD,BA,Contra,7943818,1834963.14,A favor,"Sr. Presidente, o meu voto é não.",7
