dep,partido,estado,votodilma,liberado,recebido,vototemer,discurso,discurso2
Átila Lins,PSD,AM,A favor,1794053,1061204.44,Contra,"Pela estabilidade do País, eu voto a favor do relatório do Deputado Paulo Abi-Ackel, do PSDB. Voto sim!",18
Átila Lira,PSB,PI,A favor,6408913.08,1977422.93,Contra,"Sr. Presidente, eu sou um advogado do Estado Mínimo e, nesse sentido, nós jáestamos vivendo a retomada do crescimento econômico, que, na estabilidade política, é fator essencial para nós crescermos. 
Portanto, eu voto com o relatório da Comissão de Constituição e Justiça e de Cidadania — CCJ. Eu voto sim.",50
Augusto Carvalho,SD,DF,A favor,4340769,1609696.12,A favor,"Sr. Presidente, ninguém está acima da lei. Coerente com a votação anterior, quando votei a favor do impeachmentda ex-Presidente Dilma, voto pelo prosseguimento do processo no Supremo Tribunal Federal. Voto contra o Relator.",33
Augusto Coutinho,SD,PE,A favor,5102134.99,189176.31,Contra,"Sr. Presidente, eu acompanho o voto do Relator do PSDB, Deputado Abi-Ackel. Eu voto sim.",15
Aureo,SD,RJ,A favor,3902422,2207347.48,Contra,"Sr. Presidente, eu voto favorável ao relatório da CCJ. Voto sim, Sr. Presidente.",13
Bacelar,PODE,BA,Contra,10587869,3192265.75,A favor,"Sr. Presidente, sou favorável à autorização para a instauração do processo. Por isso, meu voto é não.",17
Baleia Rossi,PMDB,SP,A favor,5359438,3962665.75,Contra,"O povo brasileiro não quer a volta do Governo do PT. 
Pela instabilidade política e econômica, eu voto pelo relatório do PSDB: sim.",23
Bebeto,PSB,BA,Contra,6893301.54,2614008.02,A favor,"Sr. Presidente, o relatório é uma homenagem à corrupção e à impunidade. Ele está sob encomenda para pagar o feito de liberar Aécio Neves no Senado, na Comissão de Ética. Por isso, o Relator é do PSDB de Minas Gerais.
Eu quero, com isso, votando contra este relatório, homenagear o povo negro, a juventude negra que vive morrendo nos genocídios neste País, os desempregados deste País e mais de 14 milhões de trabalhadores... ",73
Benedita da Silva,PT,RJ,Contra,2510000,686573.99,A favor,"Sr. Presidente, eu voto com 93% dos brasileiros que querem fora Temer e que querem que ele seja investigado.
Este Presidente que desempregou muitos trabalhadores e retirou-lhes direitos e agora quer tirar...
Sr. Presidente, o meu voto é não.",39
Benito Gama,PTB,BA,A favor,3944800,508440.1,Contra,,0
Benjamin Maranhão,SD,PB,A favor,8599999,1327369.18,Contra,"Sr. Presidente, eu ouvi muitos argumentos em defesa da democracia, diretas já, mas não é isso o que nós estamos votando. Nós estamos votando o acatamento da denúncia contra o Presidente da República, que é o seu afastamento por 180 dias. Falar em eleições diretas é hipocrisia, édemagogia. E meu voto, Sr. Presidente, só para concluir, acompanha o voto técnico que foi aprovado na CCJ. Voto sim.",67
Betinho Gomes,PSDB,PE,A favor,2181945,0,A favor,"Sr. Presidente, todos nós queremos recuperação econômica e geração de emprego, mas isso não é motivo para se impedirem as investigações. E a mesma régua que eu utilizei para analisar o caso do Deputado Eduardo Cunha e da Dilma vou utilizar agora.
Portanto, o meu voto é não ao relatório.",50
Beto Faro,PT,PA,Contra,3815769,2024627.24,A favor,"Em defesa do direito dos trabalhadores, contra essas reformas que retiram esses direitos, pela democracia, pelo legado do Presidente Lula no meu Estado, que fez grande obra de infraestrutura, de serviços, voto não a este relatório.",36
Beto Mansur,PRB,SP,A favor,9809663,770718.16,Contra,"Sr. Presidente, em defesa do desenvolvimento do País e do respeito às instituições, que éimportante, pois temos que respeitar a defesa das pessoas, o meu voto é sim.",28
Beto Rosado,PP,RN,A favor,5958330,232387.68,Contra,"Sr. Presidente, acompanho o relatório que foi aprovado na Comissão de Constituição e Justiça. Voto sim.",16
Beto Salame,PP,PA,Abstenção,7742953,413519.4,Contra,"Sr. Presidente, em respeito à decisão do meu partido que fechou questão, o Partido Progressista, pensando nos milhões de brasileiros que estão desempregados e que não aguentam mais uma crise política, eu voto sim ao Relatório.",36
Bilac Pinto,PR,MG,A favor,9526514.78,1909053.28,Contra,"Sr. Presidente, eu voto com o relatório aprovado na Comissão de Constituição e Justiça e de Cidadania, do ilustre Deputado Paulo Abi-Ackel. O meu voto é sim.",27
Bohn Gass,PT,RS,Contra,5817519.68,3131972.36,A favor,"Temer é corrupto e precisa acertar essas contas com a Justiça. O Brasil não pode mais continuar sendo governado por essa quadrilha.
Eu voto contra esse relatório, porque ele coloca a sujeirama embaixo do tapete...",35
Bonifácio de Andrada,PSDB,MG,A favor,8019780,540056.95,Contra,"Sr. Presidente, voto sim, a favor das instituições e do progresso do Brasil. ",13
Bruna Furlan,PSDB,SP,A favor,1927350,2159649.92,Contra,"Sr. Presidente, eu voto com o Relator.",7
Brunny,PR,MG,Contra,6565630.54,542972.34,Contra,"Sr. Presidente, eu chamo a atenção dos Deputados para a responsabilidade com o nosso País. Precisamos que a nossa economia continue avançando.
Eu voto sim, a favor do Presidente. ",29
Bruno Araújo,PSDB,PE,A favor,10722950.78,957876.47,Contra,"Senhoras e senhores, há quase 1 ano eu disse deste plenário sim ao futuro. Hoje eu digo sim ao País.",20
Cabo Daciolo,PTdoB,RJ,A favor,6698954.47,1008112.37,A favor,"Glória a Deus! Do que adianta o homem ganhar o mundo todo e perder a sua alma?
Pelo povo brasileiro, pela democracia no nosso País, por novas eleições gerais, eu quero falar para os Parlamentares, para a quadrilha que está instalada no Congresso Nacional, eu quero dizer a eles: intervenção federal já!
O meu voto é não.",57
Cabo Sabino,PR,CE,A favor,10622953,403368.36,A favor,"Sr. Presidente, eu estou Deputado, mas eu sou policial, e como policial eu jamais posso ser contra uma investigação. Sim à investigação, não ao relatório.",25
Cabuçu Borges,PMDB,AP,A favor,7022783,1922087.58,Contra,"Sr. Presidente, pela estabilidade do nosso País, por acreditar num Brasil empreendedor, o meu voto é sim ao relatório.",19
Cacá Leão,PP,BA,Abstenção,8349341.08,2242777.02,Contra,"Eu voto sim, Sr. Presidente.",5
Caetano,PT,BA,Contra,6965088,3253165.6,A favor,"Sr. Presidente, eu não sou covarde. Eu voto com a vontade do povo da Bahia. Eu voto com a vontade do povo do Brasil. Eu voto, Sr. Presidente, pela soberania do nosso País. Eu voto contra esta quadrilha que está aqui instalada no Palácio do Planalto. Voto não. Voto contra o relatório do PSDB. Liberte, liberte o povo brasileiro! Libertem a nossa gente! Viva o Brasil! E vamos sair felizes! E vamos sair vitoriosos nesta batalha! Fora, Temer! Eleições diretas já!",81
Caio Narcio,PSDB,MG,A favor,6278451,901407.09,Contra,"Pela estabilidade do País, pela investigação da denúncia ao final do mandato, voto sim com o Relator Paulo Abi-Ackel, em nome do Brasil.",23
Cajar Nardes,PR,RS,Não estava no cargo,7505078,0,Contra,"Sr. Presidente, trocar de Governo agora quebraria muitas milhares de micro e pequenas empresas, acarretando uma grande perda de empregos para o nosso País. O cidadão Michel Temer responderá pelos seus atos no dia 1ºde fevereiro de 2019, portanto, eu voto sim.",42
Capitão Augusto,PR,SP,A favor,5594780,152543.46,A favor,"Sr. Presidente, sendo coerente com o que eu sempre propus, nas minhas campanhas, aos policiais militares de São Paulo e da minha região de Ourinhos, eu voto não ao relatório.",30
Carlos Andrade,PHS,RR,A favor,6230948,537414.96,A favor,"Sr. Presidente, Sras. e Srs. Deputados, eu voto não.",9
Carlos Bezerra,PMDB,MT,A favor,6249940,757013.11,Contra,"Pela estabilidade política e econômica do Brasil, eu voto sim ao relatório do Deputado do PSDB.",16
Carlos Gomes,PRB,RS,A favor,9052085,3350146.11,A favor,"Sr. Presidente, este voto éum voto para que o nosso Presidente possa ter a oportunidade de se defender e mostrar a sua lisura.
Eu voto não ao parecer.",28
